Gene,Achilles_common_essential (1912),Hart et al. [2017] core (684),Behan et al. [2019] pan-cancer (553),Hart et al. [2015] core (1580),A priori CEG set
MRPL3,1,0,0,0,1
MRPL32,1,0,0,0,1
MRPL33,1,0,0,0,1
MRPL34,1,0,0,1,2
MRPL35,1,0,0,0,1
MRPL36,1,0,0,0,1
MRPL37,1,0,0,1,2
MRPL38,1,1,0,1,3
MRPL39,1,0,0,1,2
MRPL4,1,1,0,1,3
MRPL41,1,0,0,1,2
MRPL43,1,1,0,1,3
MRPL45,1,1,0,1,3
MRPL49,1,0,0,0,1
MRPL50,1,0,0,0,1
MRPL53,1,1,0,1,3
MRPL55,1,0,0,0,1
MRPL57,1,0,0,0,1
MRPL58,1,0,0,0,1
MRPL9,1,0,0,1,2
MRPS10,1,0,0,1,2
MRPS11,1,0,0,1,2
MRPS12,1,0,0,1,2
MRPS14,1,1,0,1,3
MRPS16,1,0,0,0,1
MRPS18A,1,0,0,1,2
MRPS18B,1,0,0,1,2
MRPS21,1,0,0,0,1
MRPS22,1,0,0,1,2
MRPS23,1,0,0,1,2
MRPS24,1,1,0,1,3
MRPS27,1,0,0,1,2
MRPS28,1,0,0,1,2
MRPS34,1,1,0,1,3
MRPS35,1,0,0,1,2
MRPS5,1,0,0,1,2
MRPS7,1,0,0,1,2
MRTO4,1,0,0,1,2
MST1,1,0,0,0,1
MSTO1,1,1,0,0,2
MT1B,1,0,0,0,1
MT1E,1,0,0,0,1
MTBP,1,0,1,0,2
MTG2,1,1,0,0,2
MTOR,1,0,0,1,2
MTPAP,1,0,0,1,2
MTREX,1,0,0,0,1
MTRF1L,1,0,0,0,1
MVD,1,0,0,1,2
MVK,1,1,0,1,3
MXRA7,1,0,0,0,1
MYBBP1A,1,1,0,1,3
MYC,1,1,0,1,3
MYO1H,1,0,0,0,1
MZT1,1,0,1,0,2
NAA10,1,1,0,1,3
NAA15,1,0,0,1,2
NAA20,1,0,0,1,2
NAA25,1,0,0,1,2
NAA35,1,0,0,1,2
NAA50,1,1,1,1,4
NACA,1,0,0,0,1
NAE1,1,0,0,1,2
NAIP,1,0,0,0,1
NAPA,1,1,1,1,4
NAPG,1,0,0,1,2
NARS1,1,0,0,0,1
NASP,1,0,0,0,1
NAT10,1,1,1,1,4
NBAS,1,0,0,1,2
NBPF3,1,0,0,0,1
NCAPD2,1,0,0,1,2
NCAPD3,1,0,0,1,2
NCAPG,1,0,1,1,3
NCAPG2,1,0,0,1,2
NCAPH,1,0,0,1,2
NCAPH2,1,0,0,1,2
NCBP1,1,1,1,1,4
NCBP2,1,1,1,1,4
NCL,1,0,0,1,2
NCOA4,1,0,0,0,1
NDC1,1,0,0,0,1
NDC80,1,1,1,1,4
NDOR1,1,0,0,1,2
NDUFA11,1,0,0,1,2
NDUFA2,1,0,0,1,2
NDUFA4,1,0,0,0,1
NDUFAB1,1,0,0,1,2
NDUFAF1,1,0,0,0,1
NDUFAF8,1,0,0,0,1
NDUFB10,1,0,0,0,1
NDUFB3,1,0,0,0,1
NDUFB4,1,0,0,0,1
NDUFB7,1,0,0,1,2
NDUFB9,1,0,0,0,1
NDUFC2,1,0,0,1,2
NDUFS5,1,0,0,0,1
NDUFS8,1,0,0,0,1
NEDD1,1,0,1,1,3
NEDD8,1,1,1,0,3
NELFA,1,0,0,1,2
NELFB,1,1,0,1,3
NELFCD,1,0,0,1,2
NELFE,1,0,0,0,1
NEPRO,1,0,0,0,1
NFE2L3,1,0,0,0,1
NFKBIE,1,0,0,0,1
NFS1,1,0,0,1,2
NFYB,1,0,0,0,1
NFYC,1,0,0,0,1
NGDN,1,0,0,1,2
NHP2,1,1,0,1,3
NIFK,1,0,1,0,2
NIP7,1,1,1,1,4
NKAP,1,1,1,1,4
NLE1,1,1,0,1,3
NMD3,1,1,1,0,3
NME2,1,0,0,0,1
NMT1,1,1,0,1,3
NOB1,1,0,0,1,2
NOC2L,1,0,0,1,2
NOC3L,1,0,0,1,2
NOC4L,1,1,0,1,3
NOL10,1,1,1,1,4
NOL11,1,1,0,0,2
NOL12,1,0,0,1,2
NOL6,1,1,0,1,3
NOL7,1,0,0,1,2
NOL8,1,0,0,1,2
NOL9,1,1,0,1,3
NOLC1,1,0,0,1,2
NOM1,1,0,0,1,2
NOP10,1,0,0,1,2
NOP14,1,0,0,1,2
NOP16,1,1,1,1,4
NOP2,1,1,0,1,3
NOP53,1,0,0,0,1
NOP56,1,1,1,1,4
NOP58,1,0,1,1,3
NOP9,1,1,0,1,3
NOPCHAP1,1,0,0,0,1
NPAT,1,0,0,1,2
NPEPPS,1,0,0,0,1
NPLOC4,1,1,1,1,4
NPM1,1,0,0,0,1
NRBP1,1,0,0,1,2
NRDE2,1,0,1,1,3
NRF1,1,0,1,1,3
NSA2,1,1,1,1,4
NSF,1,1,1,1,4
NSL1,1,0,1,1,3
NSMCE1,1,0,0,1,2
NSMCE2,1,0,0,1,2
NSMCE3,1,0,0,0,1
NSUN4,1,0,0,0,1
NUBP1,1,0,1,1,3
NUBP2,1,0,0,0,1
NUDC,1,1,0,1,3
NUDCD3,1,1,0,1,3
NUDT21,1,1,1,1,4
NUF2,1,1,1,1,4
NUFIP1,1,0,0,1,2
NUMA1,1,0,0,1,2
NUP107,1,0,0,1,2
NUP133,1,1,1,1,4
NUP153,1,0,0,1,2
NUP155,1,1,1,1,4
NUP160,1,1,1,1,4
NUP205,1,0,0,1,2
NUP214,1,1,1,1,4
NUP35,1,0,0,0,1
NUP43,1,0,0,1,2
NUP50,1,0,0,0,1
NUP54,1,0,0,0,1
NUP62,1,0,0,1,2
NUP85,1,1,0,1,3
NUP88,1,1,0,1,3
NUP93,1,1,0,1,3
NUP98,1,0,0,1,2
NUS1,1,1,1,0,3
NUTF2,1,1,1,0,3
NVL,1,1,0,1,3
NXF1,1,1,0,1,3
OGDH,1,1,0,1,3
OGT,1,1,0,1,3
OIP5,1,0,0,1,2
OPA1,1,0,0,1,2
ORC1,1,0,0,1,2
ORC3,1,0,0,1,2
ORC4,1,0,0,1,2
ORC5,1,0,0,1,2
ORC6,1,1,1,1,4
OSBP,1,0,0,1,2
OSGEP,1,1,0,1,3
OSTC,1,0,0,0,1
OTOP1,1,0,0,0,1
OXA1L,1,0,0,1,2
PA2G4,1,0,0,0,1
PABPC1,1,1,0,0,2
PABPN1,1,0,0,1,2
PAF1,1,0,0,1,2
PAFAH1B1,1,1,1,1,4
PAICS,1,1,0,0,2
PAK1IP1,1,1,0,1,3
PAM16,1,0,1,0,2
PAQR6,1,0,0,0,1
PARL,1,0,0,0,1
PARS2,1,0,0,1,2
PAXBP1,1,0,0,1,2
PC,1,0,0,0,1
PCBP1,1,0,1,1,3
PCBP2,1,0,0,0,1
PCF11,1,0,0,1,2
PCID2,1,1,1,1,4
PCNA,1,1,1,1,4
PCNP,1,0,0,0,1
PDAP1,1,0,0,0,1
PDCD11,1,0,0,1,2
PDCD2,1,0,0,0,1
PDCD5,1,0,0,1,2
PDCD7,1,0,1,1,3
PDCL3,1,0,0,0,1
PDPK1,1,0,0,1,2
PDRG1,1,0,0,1,2
PEF1,1,0,0,0,1
PELO,1,0,0,1,2
PELP1,1,0,0,1,2
PES1,1,0,1,1,3
PFDN1,1,0,0,1,2
PFDN2,1,1,1,1,4
PFDN5,1,0,0,0,1
PFDN6,1,0,0,1,2
PFN1,1,1,0,0,2
PGAM1,1,1,0,0,2
PGAM4,1,0,1,0,2
PGD,1,0,0,1,2
PGGT1B,1,1,0,1,3
PGK1,1,1,0,1,3
PGS1,1,0,0,1,2
PHAX,1,0,1,1,3
PHB,1,1,1,1,4
PHB2,1,1,1,1,4
PHF5A,1,1,0,0,2
PI4KA,1,0,0,1,2
PIGC,1,0,0,0,1
PIGH,1,0,0,0,1
PIK3C3,1,0,0,1,2
PIK3R4,1,0,0,0,1
PIN4,1,0,0,0,1
PIP5K1A,1,0,0,0,1
PISD,1,0,1,1,3
PKM,1,0,0,1,2
PKMYT1,1,1,1,1,4
PLEKHM1,1,0,0,0,1
PLK1,1,1,1,1,4
PLK4,1,0,0,1,2
PLRG1,1,1,0,1,3
PMF1,1,0,0,1,2
PMPCA,1,1,0,1,3
PMPCB,1,1,0,1,3
PNISR,1,0,0,1,2
PNKP,1,1,0,1,3
PNN,1,0,0,1,2
PNO1,1,0,0,1,2
PNPT1,1,0,0,1,2
POGZ,1,0,0,0,1
POLA1,1,0,0,1,2
POLA2,1,1,1,1,4
POLD1,1,0,1,1,3
POLD2,1,0,1,1,3
POLD3,1,0,1,1,3
POLE,1,0,1,1,3
POLE2,1,0,0,1,2
POLR1A,1,1,0,1,3
POLR1B,1,1,1,1,4
POLR1C,1,1,0,1,3
POLR1D,1,0,0,0,1
POLR1E,1,0,0,1,2
POLR1F,1,0,0,0,1
POLR1G,1,0,0,0,1
POLR1H,1,0,0,0,1
POLR2B,1,1,1,1,4
POLR2C,1,1,1,1,4
POLR2D,1,1,1,1,4
POLR2E,1,1,1,1,4
POLR2F,1,0,1,0,2
POLR2G,1,1,1,1,4
POLR2H,1,1,1,1,4
POLR2I,1,1,1,1,4
POLR2L,1,1,1,1,4
POLR3A,1,1,1,1,4
POLR3B,1,0,1,1,3
POLR3C,1,1,0,1,3
POLR3E,1,0,0,0,1
POLR3F,1,0,1,1,3
POLR3H,1,1,0,1,3
POLR3K,1,1,0,1,3
POLRMT,1,1,0,1,3
POM121C,1,0,0,0,1
POMP,1,0,0,0,1
POP1,1,1,0,1,3
POP4,1,0,0,1,2
POP5,1,1,0,1,3
POP7,1,0,0,1,2
POTEI,1,0,0,0,1
PPA1,1,1,0,0,2
PPAN,1,1,0,1,3
PPARGC1B,1,0,0,0,1
PPAT,1,1,0,0,2
PPCS,1,0,0,0,1
PPIE,1,0,0,0,1
PPIL1,1,0,0,0,1
PPIL2,1,1,1,1,4
PPIL4,1,0,0,1,2
PPP1CA,1,0,0,1,2
PPP1CB,1,0,1,0,2
PPP1R10,1,0,0,1,2
PPP1R11,1,0,0,0,1
PPP1R12A,1,0,0,0,1
PPP1R14B,1,0,0,0,1
PPP1R15B,1,0,0,1,2
PPP1R2,1,0,0,0,1
PPP1R7,1,0,0,1,2
PPP1R8,1,0,0,1,2
PPP2CA,1,1,0,1,3
PPP2R1A,1,0,0,1,2
PPP2R3C,1,0,0,0,1
PPP4C,1,1,0,1,3
PPP4R2,1,0,0,0,1
PPRC1,1,0,0,1,2
PPWD1,1,1,1,1,4
PPY,1,0,0,0,1
PRAMEF18,1,0,0,0,1
PRC1,1,0,1,1,3
PRCC,1,0,0,0,1
PRDM10,1,0,0,0,1
PRDX2,1,0,0,0,1
PREB,1,1,0,1,3
PRELID1,1,1,1,0,3
PRELID3B,1,0,0,0,1
PRIM1,1,1,0,1,3
PRKRA,1,0,0,1,2
PRKRIP1,1,0,0,1,2
PRMT1,1,1,1,1,4
PRMT5,1,1,0,1,3
PRPF18,1,0,0,1,2
PRPF19,1,1,1,1,4
PRPF3,1,0,0,1,2
PRPF31,1,1,0,1,3
PRPF38A,1,1,1,0,3
PRPF38B,1,1,1,1,4
PRPF39,1,0,0,1,2
PRPF4,1,1,1,1,4
PRPF40A,1,0,1,1,3
PRPF4B,1,0,0,1,2
PRPF6,1,0,1,1,3
PRPF8,1,1,1,1,4
PRR13,1,0,0,0,1
PRRC2A,1,0,0,0,1
PSMA1,1,1,1,1,4
PSMA2,1,1,1,1,4
PSMA3,1,1,1,1,4
PSMA4,1,1,1,1,4
PSMA5,1,1,1,1,4
PSMA6,1,1,1,0,3
PSMA7,1,1,1,1,4
PSMB1,1,1,1,1,4
PSMB2,1,1,1,1,4
PSMB3,1,1,1,1,4
PSMB4,1,1,1,1,4
PSMB5,1,0,1,1,3
PSMB6,1,0,1,1,3
PSMB7,1,1,1,1,4
PSMC1,1,0,1,0,2
PSMC2,1,1,0,1,3
PSMC3,1,1,1,1,4
PSMC4,1,0,1,1,3
PSMC5,1,1,0,1,3
PSMC6,1,1,1,1,4
PSMD1,1,1,1,1,4
PSMD11,1,1,1,1,4
PSMD12,1,1,1,1,4
PSMD13,1,1,0,1,3
PSMD14,1,1,1,1,4
PSMD2,1,0,1,1,3
PSMD3,1,1,1,1,4
PSMD4,1,1,0,1,3
PSMD6,1,0,1,1,3
PSMD7,1,0,0,1,2
PSMD8,1,0,0,1,2
PSME1,1,0,0,0,1
PSMG2,1,0,0,1,2
PSMG3,1,1,0,1,3
PSMG4,1,0,0,0,1
PTCD3,1,0,0,1,2
PTMA,1,0,0,0,1
PTMS,1,0,0,0,1
PTPA,1,0,0,0,1
PTPMT1,1,0,0,1,2
PTPN11,1,0,0,1,2
PTPN23,1,1,0,1,3
PTTG1,1,0,0,0,1
PUF60,1,1,1,1,4
PWP1,1,0,0,0,1
PWP2,1,1,1,1,4
PYM1,1,0,0,0,1
PYROXD1,1,0,0,0,1
PYURF,1,0,0,0,1
QARS1,1,0,0,0,1
RAB1A,1,0,0,0,1
RAB1B,1,0,0,0,1
RABGGTA,1,0,0,1,2
RABGGTB,1,1,1,1,4
RAC1,1,0,0,1,2
RACGAP1,1,1,1,1,4
RACK1,1,0,0,0,1
RAD1,1,0,0,0,1
RAD17,1,0,0,0,1
RAD21,1,1,0,1,3
RAD51,1,0,1,1,3
RAD51C,1,1,0,1,3
RAD51D,1,1,0,1,3
RAD9A,1,0,0,1,2
RAE1,1,1,0,1,3
RAMAC,1,0,0,0,1
RAN,1,1,1,1,4
RANBP1,1,0,0,0,1
RANBP2,1,0,0,1,2
RANGAP1,1,1,1,1,4
RAP1B,1,0,0,0,1
RARS1,1,0,0,0,1
RBBP4,1,0,0,1,2
RBBP5,1,0,0,1,2
RBBP6,1,1,1,1,4
RBBP8,1,0,0,1,2
RBM14,1,1,1,1,4
RBM17,1,1,1,1,4
RBM19,1,0,0,1,2
RBM22,1,0,0,0,1
RBM25,1,0,1,1,3
RBM28,1,0,0,1,2
RBM39,1,0,0,0,1
RBM42,1,0,0,0,1
RBM48,1,0,0,1,2
RBM8A,1,1,0,0,2
RBMX,1,1,1,1,4
RBMX2,1,0,0,0,1
RBMXL1,1,0,0,0,1
RBX1,1,1,1,0,3
RCC1,1,1,1,1,4
RCC1L,1,0,0,0,1
RCL1,1,1,0,1,3
RELA,1,0,0,0,1
REV3L,1,0,0,0,1
RFC1,1,0,0,1,2
RFC2,1,1,0,1,3
RFC3,1,0,0,1,2
RFC4,1,1,1,1,4
RFC5,1,1,1,1,4
RFT1,1,0,0,1,2
RHEB,1,1,0,0,2
RHOQ,1,0,0,0,1
RILP,1,0,0,0,1
RINT1,1,0,0,1,2
RIOK1,1,0,1,1,3
RIOK2,1,1,1,1,4
RMI1,1,0,0,0,1
RMI2,1,0,0,0,1
RNF113A,1,0,1,1,3
RNF20,1,1,0,1,3
RNF4,1,0,0,0,1
RNF40,1,0,0,1,2
RNF8,1,0,0,1,2
RNGTT,1,1,1,1,4
RNMT,1,0,0,1,2
RNPC3,1,0,0,1,2
RNPS1,1,0,1,0,2
ROMO1,1,1,0,1,3
RPA1,1,1,1,1,4
RPA2,1,1,1,1,4
RPA3,1,0,1,0,2
RPAIN,1,0,0,1,2
RPAP1,1,0,1,1,3
RPAP2,1,0,0,1,2
RPAP3,1,0,0,0,1
RPE,1,0,0,0,1
RPF1,1,0,0,1,2
RPF2,1,1,1,1,4
RPL10,1,0,0,1,2
RPL10A,1,1,1,1,4
RPL11,1,1,1,1,4
RPL12,1,1,1,1,4
RPL13,1,1,1,1,4
RPL13A,1,0,1,0,2
RPL14,1,1,1,0,3
RPL15,1,0,1,0,2
RPL18,1,1,1,1,4
RPL18A,1,1,1,0,3
RPL19,1,1,1,1,4
RPL21,1,0,1,0,2
RPL22,1,0,1,0,2
RPL23,1,1,1,0,3
RPL23A,1,0,1,1,3
RPL24,1,1,0,0,2
RPL26,1,0,1,0,2
RPL26L1,1,0,0,0,1
RPL27,1,1,1,0,3
RPL27A,1,1,1,1,4
RPL28,1,0,0,0,1
RPL3,1,1,1,1,4
RPL30,1,1,1,0,3
RPL31,1,0,1,1,3
RPL32,1,0,1,0,2
RPL35,1,1,1,0,3
RPL35A,1,1,1,0,3
RPL36,1,1,1,0,3
RPL36A,1,0,1,1,3
RPL36AL,1,0,0,0,1
RPL37,1,0,0,0,1
RPL37A,1,1,1,0,3
RPL38,1,0,1,1,3
RPL4,1,1,1,1,4
RPL5,1,0,1,0,2
RPL6,1,1,1,0,3
RPL7,1,0,1,1,3
RPL8,1,1,1,1,4
RPLP0,1,1,1,1,4
RPLP1,1,1,1,0,3
RPLP2,1,1,1,1,4
RPN1,1,0,0,1,2
RPN2,1,0,0,1,2
RPP14,1,0,0,1,2
RPP21,1,1,0,1,3
RPP30,1,0,0,1,2
RPP38,1,1,0,1,3
RPP40,1,0,0,1,2
RPS10,1,0,0,0,1
RPS11,1,1,1,1,4
RPS12,1,1,1,0,3
RPS13,1,1,1,1,4
RPS15,1,0,1,0,2
RPS15A,1,1,1,1,4
RPS16,1,1,1,0,3
RPS18,1,1,1,1,4
RPS19,1,1,1,0,3
RPS19BP1,1,0,0,1,2
RPS2,1,1,1,1,4
RPS20,1,1,1,0,3
RPS21,1,1,1,1,4
RPS23,1,1,1,0,3
RPS24,1,0,1,0,2
RPS25,1,0,0,0,1
RPS27A,1,0,1,0,2
RPS29,1,0,0,1,2
RPS3,1,1,1,0,3
RPS4X,1,1,1,1,4
RPS5,1,1,1,1,4
RPS6,1,1,1,0,3
RPS7,1,1,1,0,3
RPS8,1,1,1,0,3
RPS9,1,0,1,1,3
RPSA,1,0,1,0,2
RPTOR,1,0,0,1,2
RRM1,1,1,1,1,4
RRM2,1,0,1,1,3
RRN3,1,0,1,0,2
RRP1,1,1,0,1,3
RRP12,1,1,0,1,3
RRP15,1,0,0,1,2
RRP36,1,0,0,1,2
RRP7A,1,0,0,0,1
RRP9,1,0,0,1,2
RRS1,1,1,0,1,3
RSL1D1,1,0,1,1,3
RSPH9,1,0,0,0,1
RSRC2,1,0,0,1,2
RTCB,1,1,0,0,2
RTEL1,1,0,0,1,2
RTF1,1,0,0,1,2
RTF2,1,0,0,0,1
RTRAF,1,0,0,0,1
RUVBL1,1,0,0,1,2
RUVBL2,1,1,1,1,4
SACM1L,1,1,1,1,4
SAE1,1,1,0,1,3
SAMM50,1,1,0,1,3
SAP130,1,0,0,1,2
SAP18,1,1,1,1,4
SAP30BP,1,0,1,0,2
SARNP,1,0,0,0,1
SARS1,1,0,0,0,1
SARS2,1,1,0,1,3
SART1,1,0,0,1,2
SART3,1,1,1,1,4
SASS6,1,0,0,0,1
SBDS,1,0,0,0,1
SBNO1,1,1,0,1,3
SCARF1,1,0,0,0,1
SCD,1,0,0,1,2
SCFD1,1,0,1,1,3
SCG5,1,0,0,0,1
SCNM1,1,0,0,0,1
SCYL1,1,0,0,0,1
SDAD1,1,1,1,1,4
SDE2,1,0,1,0,2
SDHAF2,1,0,0,0,1
SDHC,1,1,0,0,2
SDHD,1,0,0,0,1
SEC13,1,1,1,1,4
SEC16A,1,0,0,1,2
SEC61A1,1,0,0,1,2
SEC61B,1,0,0,0,1
SEC61G,1,0,1,0,2
SEC63,1,0,0,1,2
SEH1L,1,1,0,1,3
SEM1,1,0,0,0,1
SENP6,1,0,0,1,2
SERBP1,1,0,0,0,1
SETD1A,1,0,0,1,2
SF1,1,1,1,1,4
SF3A1,1,0,1,1,3
SF3A2,1,1,1,1,4
SF3A3,1,1,1,1,4
SF3B1,1,1,0,1,3
SF3B2,1,1,1,1,4
SF3B3,1,1,1,1,4
SF3B4,1,0,1,1,3
SF3B5,1,1,1,1,4
SF3B6,1,0,0,0,1
SFPQ,1,0,1,1,3
SFSWAP,1,0,0,1,2
SGO1,1,0,0,0,1
SHQ1,1,0,0,1,2
SIGLEC11,1,0,0,0,1
SIN3A,1,0,0,1,2
SINHCAF,1,0,0,0,1
SKA1,1,0,0,1,2
SKA2,1,0,0,1,2
SKA3,1,0,0,1,2
SKP1,1,1,0,0,2
SKP2,1,0,0,1,2
SLBP,1,0,0,0,1
SLC25A10,1,0,0,1,2
SLC25A3,1,0,0,0,1
SLC25A38,1,0,0,0,1
SLC25A5,1,0,0,0,1
SLC35B1,1,1,0,1,3
SLC39A10,1,0,0,0,1
SLC39A7,1,0,0,1,2
SLC7A5,1,0,0,0,1
SLC7A6OS,1,0,0,1,2
SLC9B1,1,0,0,0,1
SLU7,1,1,1,1,4
SMARCA5,1,0,0,1,2
SMARCB1,1,0,0,1,2
SMARCE1,1,0,0,0,1
SMC1A,1,1,0,1,3
SMC2,1,1,0,1,3
SMC3,1,0,0,1,2
SMC4,1,1,1,1,4
SMC5,1,0,0,1,2
SMC6,1,0,0,1,2
SMG1,1,0,0,1,2
SMG5,1,0,0,1,2
SMG6,1,0,0,1,2
SMG7,1,0,0,0,1
SMIM7,1,0,0,0,1
SMNDC1,1,0,0,1,2
SMR3B,1,0,0,0,1
SMS,1,0,0,0,1
SMU1,1,1,1,0,3
SNAP23,1,0,0,0,1
SNAPC1,1,1,1,0,3
SNAPC2,1,1,0,1,3
SNAPC3,1,0,1,1,3
SNAPC4,1,1,0,1,3
SNAPC5,1,0,0,0,1
SNAPIN,1,0,0,0,1
SNF8,1,0,0,1,2
SNIP1,1,0,0,1,2
SNRNP200,1,1,1,1,4
SNRNP25,1,1,0,1,3
SNRNP27,1,1,1,0,3
SNRNP35,1,1,0,1,3
SNRNP40,1,0,0,0,1
SNRNP48,1,0,0,1,2
SNRNP70,1,1,1,1,4
SNRPA1,1,1,1,0,3
SNRPB,1,0,1,1,3
SNRPB2,1,0,0,0,1
SNRPC,1,0,0,1,2
SNRPD1,1,1,1,0,3
SNRPD2,1,1,1,1,4
SNRPD3,1,1,1,1,4
SNRPF,1,1,1,1,4
SNU13,1,0,0,0,1
SNUPN,1,0,0,1,2
SNW1,1,1,1,1,4
SOD1,1,0,0,1,2
SOD2,1,0,0,1,2
SON,1,0,0,1,2
SOWAHC,1,0,0,0,1
SPAG5,1,0,0,0,1
SPATA5,1,0,0,1,2
SPATA5L1,1,1,0,1,3
SPC24,1,1,1,1,4
SPC25,1,1,1,1,4
SPCS2,1,0,0,0,1
SPCS3,1,0,0,1,2
SPDL1,1,0,1,1,3
SPDYE1,1,0,0,0,1
SPOUT1,1,0,0,0,1
SPRR2G,1,0,0,0,1
SPRTN,1,0,0,1,2
SPRYD4,1,0,0,0,1
SPTLC1,1,0,0,0,1
SRBD1,1,1,0,1,3
SRCAP,1,0,0,1,2
SRF,1,0,0,1,2
SRFBP1,1,0,0,1,2
SRP14,1,0,0,0,1
SRP19,1,1,1,0,3
SRP54,1,0,1,1,3
SRP68,1,0,0,1,2
SRP72,1,0,0,1,2
SRP9,1,0,0,0,1
SRPRA,1,0,0,0,1
SRPRB,1,0,0,1,2
SRRM1,1,1,0,1,3
SRRT,1,1,0,1,3
SRSF1,1,1,1,1,4
SRSF10,1,0,0,0,1
SRSF11,1,0,0,1,2
SRSF2,1,1,1,1,4
SRSF3,1,1,1,0,3
SRSF6,1,0,0,0,1
SRSF7,1,1,1,1,4
SS18L2,1,1,1,1,4
SSB,1,0,0,0,1
SSBP3,1,0,0,0,1
SSRP1,1,0,1,1,3
SSU72,1,1,1,1,4
SSX5,1,0,0,0,1
ST13,1,0,0,0,1
STARD7,1,0,0,0,1
STAT5A,1,0,0,0,1
STIL,1,0,0,0,1
STRAP,1,0,0,0,1
STX18,1,0,0,1,2
STX5,1,0,0,1,2
SUDS3,1,0,0,1,2
SUGP1,1,0,0,0,1
SUGT1,1,0,0,1,2
SUMO1,1,0,0,0,1
SUMO2,1,0,0,0,1
SUPT16H,1,0,1,0,2
SUPT4H1,1,0,0,1,2
SUPT5H,1,1,0,1,3
SUPT6H,1,1,1,1,4
SUPV3L1,1,1,0,1,3
SURF6,1,0,0,1,2
SVBP,1,0,0,0,1
SYF2,1,0,0,0,1
SYMPK,1,1,1,1,4
SYS1,1,1,0,1,3
SYVN1,1,0,0,1,2
TACC3,1,0,0,1,2
TADA2A,1,0,0,0,1
TAF1,1,0,0,1,2
TAF10,1,0,0,1,2
TAF12,1,0,0,1,2
TAF13,1,0,0,1,2
TAF1A,1,0,0,1,2
TAF1B,1,1,0,1,3
TAF1C,1,0,0,1,2
TAF1D,1,0,0,0,1
TAF2,1,0,0,1,2
TAF5,1,0,0,1,2
TAF6,1,1,0,1,3
TAF7,1,0,0,0,1
TAF8,1,0,0,0,1
TAMM41,1,0,0,0,1
TANGO6,1,1,0,1,3
TARDBP,1,0,0,0,1
TARS1,1,0,0,0,1
TARS2,1,0,0,1,2
TBCA,1,0,0,1,2
TBCB,1,0,0,0,1
TBCC,1,0,0,1,2
TBCD,1,1,0,1,3
TBCE,1,0,0,1,2
TBL3,1,1,0,1,3
TBP,1,0,0,1,2
TCERG1,1,0,0,0,1
TCOF1,1,0,0,0,1
TCP1,1,1,1,1,4
TDGF1,1,0,0,0,1
TEFM,1,0,0,1,2
TELO2,1,1,0,0,2
TEN1,1,0,0,1,2
TERF1,1,0,0,0,1
TEX10,1,0,0,1,2
TFAM,1,1,0,1,3
TFB2M,1,0,0,0,1
TFDP1,1,0,0,0,1
TFIP11,1,0,1,0,2
TFRC,1,1,0,0,2
TGS1,1,0,0,0,1
THAP1,1,0,0,1,2
THAP11,1,0,0,1,2
THAP5,1,0,0,0,1
THG1L,1,0,0,1,2
THOC1,1,0,0,1,2
THOC2,1,1,1,1,4
THOC3,1,1,1,0,3
THOC5,1,1,1,1,4
THOC7,1,0,0,1,2
TICRR,1,1,1,1,4
TIGD1,1,0,0,0,1
TIMELESS,1,0,0,1,2
TIMM10,1,1,0,1,3
TIMM13,1,1,0,1,3
TIMM22,1,0,0,1,2
TIMM23,1,1,0,1,3
TIMM29,1,0,0,0,1
TIMM44,1,1,0,1,3
TIMM8A,1,0,0,0,1
TIMM9,1,0,0,0,1
TINF2,1,0,0,1,2
TIPIN,1,0,0,0,1
TLK2,1,0,0,0,1
TMA16,1,0,0,0,1
TMED10,1,0,0,1,2
TMED2,1,0,0,1,2
TMEM183A,1,0,0,0,1
TMEM199,1,0,0,1,2
TMEM258,1,1,0,1,3
TNNT2,1,0,0,0,1
TNPO3,1,1,1,1,4
TOMM20,1,0,0,0,1
TOMM22,1,1,0,0,2
TOMM40,1,1,1,1,4
TONSL,1,1,1,1,4
TOP1,1,1,1,1,4
TOP2A,1,1,1,1,4
TOP3A,1,0,1,1,3
TOPBP1,1,0,1,1,3
TOR2A,1,0,0,0,1
TOX4,1,0,0,0,1
TP53RK,1,0,0,1,2
TPI1,1,0,0,0,1
TPR,1,0,0,1,2
TPRKB,1,0,0,0,1
TPT1,1,1,0,0,2
TPX2,1,1,0,1,3
TRA2B,1,0,0,0,1
TRAIP,1,0,0,1,2
TRAPPC1,1,1,0,1,3
TRAPPC11,1,0,1,1,3
TRAPPC3,1,1,1,1,4
TRAPPC4,1,0,0,1,2
TRAPPC5,1,0,0,1,2
TRAPPC8,1,0,1,1,3
TRIAP1,1,1,0,1,3
TRMT10C,1,0,0,0,1
TRMT112,1,1,1,1,4
TRMT5,1,1,0,1,3
TRNT1,1,0,0,0,1
TRPM7,1,0,0,0,1
TRRAP,1,1,0,1,3
TSEN2,1,0,0,1,2
TSEN34,1,0,0,0,1
TSEN54,1,0,0,1,2
TSFM,1,0,0,1,2
TSG101,1,0,1,1,3
TSPYL5,1,0,0,0,1
TSR1,1,1,0,1,3
TSR2,1,0,1,1,3
TTC1,1,1,1,1,4
TTC27,1,1,1,1,4
TTC4,1,0,0,0,1
TTF1,1,0,0,1,2
TTF2,1,0,0,1,2
TTI1,1,1,0,1,3
TTI2,1,1,0,1,3
TTK,1,0,0,1,2
TUBA1B,1,0,0,0,1
TUBB,1,1,1,0,3
