Gene,Achilles_common_essential (1912),Hart et al. [2017] core (684),Behan et al. [2019] pan-cancer (553),Hart et al. [2015] core (1580),A priori CEG set
CDCA5,1,0,0,1,2
CDCA8,1,0,0,1,2
CDIPT,1,0,0,0,1
CDK1,1,1,1,0,3
CDK12,1,0,0,1,2
CDK2,1,0,0,1,2
CDK4,1,0,0,0,1
CDK7,1,1,0,0,2
CDK9,1,1,1,1,4
CDT1,1,1,1,1,4
CEBPZ,1,1,0,1,3
CELSR2,1,0,0,0,1
CENATAC,1,0,0,0,1
CENPA,1,1,0,1,3
CENPC,1,1,1,0,3
CENPE,1,0,0,1,2
CENPH,1,0,0,0,1
CENPI,1,0,0,1,2
CENPK,1,0,1,1,3
CENPL,1,0,0,1,2
CENPM,1,0,1,1,3
CENPN,1,0,1,1,3
CENPT,1,0,0,1,2
CENPW,1,0,1,1,3
CEP131,1,0,0,0,1
CEP192,1,0,0,1,2
CFAP20,1,0,0,0,1
CFAP298,1,0,0,0,1
CFDP1,1,0,0,1,2
CFL1,1,1,0,0,2
CHAF1A,1,1,0,1,3
CHAF1B,1,1,1,1,4
CHCHD1,1,0,0,0,1
CHCHD2,1,0,0,0,1
CHCHD3,1,0,0,0,1
CHCHD4,1,0,0,0,1
CHD4,1,0,0,1,2
CHEK1,1,1,1,1,4
CHERP,1,1,0,1,3
CHMP2A,1,1,1,1,4
CHMP3,1,0,0,1,2
CHMP4B,1,0,0,1,2
CHMP5,1,0,0,0,1
CHMP6,1,1,0,1,3
CHMP7,1,0,0,0,1
CHORDC1,1,0,0,0,1
CHTF8,1,0,0,0,1
CIAO1,1,1,0,1,3
CIAO2A,1,0,0,0,1
CIAO2B,1,0,0,0,1
CIAO3,1,0,0,0,1
CIAPIN1,1,0,0,0,1
CINP,1,1,0,1,3
CITED4,1,0,0,0,1
CKAP5,1,1,1,1,4
CKS2,1,0,0,0,1
CLASRP,1,0,0,1,2
CLK2,1,0,0,0,1
CLNS1A,1,1,0,1,3
CLP1,1,1,1,1,4
CLSPN,1,0,0,0,1
